#mass(GeV) PICO(cm^2)
1.5000000000000004e-05 4.746132189651122e-28
3.871470279597064e-05 6.031249481296139e-28
9.992188083868909e-05 7.656189446165899e-28
0.00025789639463228244 9.709384435419192e-28
0.0006656254846894113 1.2320624866161099e-27
0.0017179661875449637 1.5577068792215436e-27
0.004434036690955329 1.959390266777426e-27
0.011444160845117643 2.4436449077077053e-27
0.029537152391200906 3.019489573609525e-27
0.07623480508430909 3.704215149708347e-27
0.19676052143651845 4.555851084539439e-27
0.5078350072930014 5.684749563216152e-27
1.3107120917825388 6.959573021093935e-27
3.3829219389630643 8.151262415633913e-27
8.731254496594916 1.0704209705422214e-26
22.535194858110287 1.8088491860565578e-26
58.16289142540168 3.757468202586186e-26
150.1172703525823 8.790220308251756e-26
387.44970041617313 2.1752167809390452e-25
1000.0 5.514604505687638e-25
